,花旗,台新,國泰,富邦,玉山,中信
2017-12-05,95.0,11.0,,,,
2017-12-06,11.0,8.0,14.0,9.0,10.0,45.0
2017-12-07,3.0,23.0,71.0,,3.0,1.0
2017-12-08,11.0,1.0,,,53.0,
2017-12-09,,16.0,17.0,,11.0,25.0
2017-12-10,6.0,16.0,16.0,12.0,,5.0
2017-12-11,4.0,9.0,12.0,56.0,20.0,36.0
2017-12-12,8.0,24.0,18.0,,16.0,5.0
2017-12-13,29.0,5.0,11.0,,32.0,45.0
2017-12-14,1.0,12.0,45.0,24.0,52.0,6.0
2017-12-15,13.0,68.0,21.0,9.0,2.0,4.0
2017-12-16,41.0,3.0,28.0,,19.0,50.0
2017-12-17,,18.0,,,,
2017-12-18,,3.0,5.0,,22.0,27.0
2017-12-19,32.0,20.0,31.0,,,32.0
2017-12-20,2.0,114.0,26.0,6.0,16.0,76.0
2017-12-21,13.0,,8.0,,5.0,33.0
2017-12-22,,26.0,5.0,,,34.0
2017-12-23,8.0,26.0,,10.0,2.0,19.0
2017-12-24,2.0,63.0,52.0,,,100.0
2017-12-25,22.0,-10.0,,,,59.0
2017-12-26,29.0,0.0,22.0,,-10.0,46.0
2017-12-27,28.0,19.0,66.0,,19.0,77.0
2017-12-28,0.0,38.0,43.0,6.0,15.0,24.0
2017-12-29,,15.0,12.0,,78.0,35.0
